project_name,file_name,row_count
 Развитие продаж  водопроливных поверочных установок ПУРС, Развитие продаж  водопроливных поверочных установок ПУРС.xlsx,737
" Развитие продаж поверочных установок СПУ-5, СПУ-7"," Развитие продаж поверочных установок СПУ-5, СПУ-7.xlsx",2042
!Стратег развитие продаж коммунально-бытового оборудования в Казахстане через дилерские сети,!Стратег развитие продаж коммунально-бытового оборудования в Казахстане через дилерские сети.xlsx,807
"""ОКР ПУРС ДОНБАСС"" для ГУП ""ДОНБАССТЕПЛОЭНЕРГО""",＂ОКР ПУРС ДОНБАСС＂ для ГУП ＂ДОНБАССТЕПЛОЭНЕРГО＂.xlsx,800
1.Проект Инжиниринговые компании,1.Проект Инжиниринговые компании.xlsx,5984
2,2.xlsx,678
2.КОТЕЛ+ФАСАД+СТАБ,2.КОТЕЛ+ФАСАД+СТАБ.xlsx,564
_Сокращение потерь в закупках 2025,_Сокращение потерь в закупках 2025.xlsx,321
msproj11,msproj11.xlsx,3507
Автоматизация отработки ЗПР,Автоматизация отработки ЗПР.xlsx,75
Автоматизация правил внесения расценок,Автоматизация правил внесения расценок.xlsx,111
Автоматизация процесса проверки увеличения стоимости ТМЦ,Автоматизация процесса проверки увеличения стоимости ТМЦ.xlsx,126
Автоматизация процессов контроля проектной деятельности и начисления заработной платы с помощью ИИ ,Автоматизация процессов контроля проектной деятельности и начисления заработной платы с помощью ИИ.xlsx,168
Актуализация документов по инфраструктуре зданий и их цифровизация,Актуализация документов по инфраструктуре зданий и их цифровизация.xlsx,241
Внедрение CRM1,Внедрение CRM1.xlsx,391
Внесение изм. в ОТ (потоковый),Внесение изм. в ОТ (потоковый).xlsx,23
Внесение изменений в описание типа Turbo Flow UFG,Внесение изменений в описание типа Turbo Flow UFG.xlsx,1037
Внесение изменений в описание типа СПУ-5 UFG-H,Внесение изменений в описание типа СПУ-5 UFG-H.xlsx,722
Вып условий договора №МПГ00006855 от 30.10.2023 на поставку СИРГ 8.0 МПа,Вып условий договора №МПГ00006855 от 30.10.2023 на поставку СИРГ 8.0 МПа.xlsx,1305
"Выполнение условий договора Договор №МПГ00005889 от 23.06.2023 на поставку СИРГ 4,0 МПа","Выполнение условий договора Договор №МПГ00005889 от 23.06.2023 на поставку СИРГ 4,0 МПа.xlsx",973
"Выполнение условий договора Договор №МПГ00005889 от 23.06.2023 на поставку СИРГ 4,0 МПа на базе UFG Д","Выполнение условий договора Договор №МПГ00005889 от 23.06.2023 на поставку СИРГ 4,0 МПа на базе UFG Д.xlsx",558
"Выполнение условий договора Договор №МПГ00005889 от 25.06.2023 на поставку СИРГ 4,0 МПа на базе UFG Д","Выполнение условий договора Договор №МПГ00005889 от 25.06.2023 на поставку СИРГ 4,0 МПа на базе UFG Д.xlsx",497
"Выработка технического решения прибора, соответсвующего программе СТМ-100mpp","Выработка технического решения прибора, соответсвующего программе СТМ-100mpp.xlsx",132
